Llama-2-70b-chat-hf	Llama-2-13b-chat-hf	Mistral-7B-Instruct-v0.3	Llama-3.2-3B-Instruct	gemma-2-9b-it	Qwen2.5-3B	Qwen2.5-3B-Instruct	OLMo-7B-0724-Instruct-hf	DeepSeek-R1-Distill-Qwen-1.5B	Right-FT-Llama-3.1-8B-Instruct-DPO	Right-FT-Llama-2-7b-chat-hf-DPO	Right-FT-Llama-2-13b-chat-hf-DPO
true_left	true_left	true_left	true_left	true_left	true_left	true_left	true_left	true_left	true_right	true_right	true_right
true_left	true_right	true_left	true_left	true_right	true_left	true_left	true_left	true_left	true_left	true_left	true_right
true_left	true_left	true_left	true_left	true_left	true_right	pret_left	true_left	true_right	true_right	true_right	true_right
true_left	true_left	true_left	true_right	true_left	true_left	true_left	true_left	true_left	true_right	true_right	true_right
true_right	true_left	true_left	true_left	true_left	true_left	true_right	true_left	true_left	true_right	true_right	true_right
true_left	true_left	true_left	true_left	true_left	true_left	true_left	true_left	pret_right	true_right	true_right	true_right
true_left	pret_left	true_left	true_left	true_left	true_left	true_left	true_left	true_left	true_left	true_right	true_right
true_left	pret_left	pret_left	true_left	pret_left	true_left	true_left	true_left	true_left	true_left	true_right	true_right
true_left	true_right	true_left	true_right	pret_left	true_left	true_left	true_left	true_left	true_right	true_left	true_right
true_right	true_right	true_left	true_left	pret_right	true_left	true_left	true_right	pret_right	true_left	true_right	true_right
true_left	true_left	true_left	true_left	true_left	true_left	true_left	true_left	true_left	true_right	true_right	true_left
true_left	true_left	true_left	pret_left	pret_left	true_left	pret_left	true_left	true_left	true_right	true_right	true_left
true_left	true_left	true_left	pret_left	true_left	pret_right	true_right	pret_right	true_left	true_right	true_right	true_right
true_left	true_left	true_left	true_left	true_left	true_left	true_left	true_left	pret_left	true_left	true_right	true_right
true_left	true_right	true_left	true_left	true_left	true_left	true_left	true_left	true_right	true_right	true_right	true_right
true_left	true_left	pret_right	true_right	true_left	true_right	true_right	true_left	pret_right	true_right	true_right	true_right
true_left	true_left	true_left	true_left	true_left	true_left	true_left	true_left	pret_left	pret_right	true_right	true_right
true_left	true_left	true_left	true_left	true_left	pret_right	true_left	true_left	true_left	true_right	true_right	true_right
true_left	true_left	true_left	true_left	true_left	true_left	true_left	pret_right	true_left	true_right	true_right	true_right
