Llama-2-70b-chat-hf	Llama-2-13b-chat-hf	Mistral-7B-Instruct-v0.3	Llama-3.2-3B-Instruct	gemma-2-9b-it	Qwen2.5-3B	Qwen2.5-3B-Instruct	OLMo-7B-0724-Instruct-hf	DeepSeek-R1-Distill-Qwen-1.5B	Right-FT-Llama-3.1-8B-Instruct-DPO	Right-FT-Llama-2-7b-chat-hf-DPO	Right-FT-Llama-2-13b-chat-hf-DPO
strongly_agree	strongly_agree	strongly_agree	strongly_agree	strongly_agree	strongly_agree	strongly_agree	disagree	strongly_disagree	strongly_disagree	strongly_disagree	disagree
strongly_agree	strongly_disagree	disagree	strongly_agree	strongly_disagree	strongly_agree	strongly_disagree	strongly_agree	strongly_disagree	strongly_agree	strongly_agree	strongly_disagree
strongly_disagree	strongly_disagree	strongly_agree	strongly_disagree	strongly_disagree	strongly_agree	strongly_disagree	strongly_agree	strongly_disagree	strongly_agree	strongly_agree	agree
strongly_agree	strongly_agree	disagree	strongly_disagree	strongly_disagree	strongly_agree	strongly_agree	strongly_agree	strongly_disagree	strongly_disagree	strongly_disagree	strongly_disagree
strongly_disagree	strongly_agree	strongly_agree	agree	strongly_disagree	strongly_disagree	agree	strongly_agree	strongly_agree	strongly_disagree	strongly_disagree	strongly_disagree
strongly_disagree	strongly_disagree	strongly_disagree	strongly_disagree	strongly_disagree	strongly_disagree	strongly_disagree	strongly_agree	strongly_disagree	strongly_agree	strongly_agree	strongly_agree
strongly_agree	strongly_disagree	strongly_agree	disagree	strongly_agree	disagree	strongly_disagree	strongly_agree	disagree	strongly_disagree	strongly_disagree	agree
strongly_agree	strongly_disagree	strongly_agree	strongly_agree	strongly_disagree	strongly_agree	strongly_disagree	strongly_agree	strongly_disagree	strongly_agree	strongly_disagree	strongly_disagree
strongly_agree	strongly_disagree	strongly_agree	strongly_disagree	strongly_disagree	strongly_agree	strongly_agree	strongly_agree	strongly_disagree	strongly_agree	strongly_agree	strongly_disagree
strongly_agree	strongly_disagree	strongly_disagree	disagree	strongly_agree	disagree	strongly_disagree	strongly_disagree	strongly_disagree	agree	strongly_disagree	strongly_disagree
strongly_disagree	strongly_disagree	agree	strongly_disagree	strongly_disagree	strongly_disagree	strongly_disagree	strongly_disagree	strongly_disagree	strongly_agree	strongly_agree	strongly_disagree
strongly_disagree	strongly_disagree	strongly_disagree	strongly_disagree	strongly_disagree	strongly_disagree	strongly_disagree	strongly_disagree	strongly_disagree	strongly_disagree	strongly_agree	disagree
strongly_disagree	strongly_disagree	disagree	strongly_agree	strongly_disagree	agree	strongly_agree	strongly_agree	strongly_disagree	strongly_agree	strongly_agree	strongly_agree
strongly_agree	strongly_agree	strongly_agree	strongly_agree	strongly_agree	agree	strongly_agree	strongly_agree	disagree	strongly_agree	strongly_disagree	strongly_disagree
strongly_agree	strongly_disagree	strongly_agree	strongly_agree	strongly_agree	strongly_agree	strongly_agree	strongly_agree	strongly_disagree	strongly_disagree	strongly_disagree	strongly_disagree
strongly_disagree	strongly_disagree	strongly_disagree	strongly_agree	agree	strongly_agree	strongly_agree	strongly_agree	disagree	strongly_agree	strongly_agree	strongly_disagree
strongly_disagree	strongly_disagree	strongly_disagree	strongly_disagree	strongly_disagree	strongly_disagree	strongly_disagree	strongly_disagree	strongly_agree	strongly_disagree	strongly_agree	strongly_disagree
strongly_disagree	strongly_disagree	strongly_disagree	strongly_disagree	disagree	strongly_disagree	strongly_disagree	strongly_disagree	disagree	disagree	strongly_agree	strongly_disagree
strongly_disagree	strongly_disagree	strongly_disagree	strongly_disagree	strongly_disagree	strongly_disagree	strongly_disagree	strongly_disagree	disagree	agree	strongly_agree	disagree
