OLMo-7B-0724-Instruct-hf	Mistral-7B-Instruct-v0.3	Llama-3.2-3B-Instruct	gemma-2-9b-it	Qwen2.5-3B-Instruct	Qwen2.5-3B	DeepSeek-R1-Distill-Qwen-1.5B	Right-FT-Llama-3.1-8B-Instruct-DPO
true_left	true_left	true_left	true_left	true_left	true_left	true_left	pret_right
true_left	true_left	true_left	true_right	true_left	true_right	true_right	true_right
true_left	true_left	true_left	true_left	true_left	true_right	true_right	true_right
true_left	true_left	pret_right	true_left	true_left	true_right	true_left	pret_right
true_left	true_left	pret_right	true_left	true_left	true_left	true_left	true_right
pret_left	true_left	true_left	true_left	true_left	true_right	true_left	true_right
true_left	true_left	true_left	true_left	true_left	true_left	true_left	true_right
true_left	true_left	true_right	true_left	true_left	true_left	true_left	true_right
true_left	true_left	true_left	true_left	true_left	true_left	true_left	true_right
true_left	true_right	true_left	true_left	true_left	pret_left	true_left	true_right
true_left	true_left	true_left	true_left	true_left	true_left	pret_left	true_right
true_left	true_left	true_left	pret_left	true_left	true_left	true_left	true_right
true_right	true_left	true_left	true_left	true_left	true_left	pret_right	pret_right
true_left	true_left	true_left	true_right	true_left	true_left	true_left	true_right
true_right	true_left	true_left	true_left	true_left	true_left	pret_left	true_right
true_left	true_left	true_left	true_left	true_right	true_right	pret_right	true_right
true_left	pret_left	true_left	true_left	true_left	true_left	pret_left	true_right
true_left	true_left	true_left	true_left	true_left	pret_right	true_left	true_right
true_right	true_right	true_left	true_left	true_left	true_right	pret_right	true_right
